Name,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproa,Status,SnapX,SnapY,SnapZ,DistanceTo,Attr_Lengt,Breaks_Len,V20L1t0,TARGET_FID,FacilityID,V20L1t1,V20L1t2,V20L1t3,V18L1t0,V18L1t1,V18L1t2,V18L1t3,V22L1t0,V22L1t1,V22L1t2,V22L1t3,V12L1t0,V12L1t1,V12L1t2,V12L1t3,V16L1t0,V16L1t1,V16L1t2,V16L1t3
Location 58,1,9706,0.12893103309,2,0,0,5431901.44030000000,6504313.31325000000,0.00000000000,13.23559935790,0.00000000000,,2,67,58,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 59,1,3976,0.78441057396,2,0,0,5431951.40772000000,6504395.00699000000,0.00000000000,25.83729581510,0.00000000000,,0,68,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 60,1,4555,0.13405605211,2,0,0,5431927.42016000000,6504415.13153000000,0.00000000000,13.46201300950,0.00000000000,,64,69,60,17,18,29,20,4,8,8,54,8,25,21,63,15,25,23,73,8,48,17
Location 61,1,11705,0.57075457661,2,0,0,5431975.49994000000,6504493.57706000000,0.00000000000,24.40942446190,0.00000000000,,8,70,61,2,2,4,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Location 62,1,9274,0.14546103059,2,0,0,5431952.17128000000,6504514.80825000000,0.00000000000,11.93487242790,0.00000000000,,0,71,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 63,1,1518,0.60809045602,2,0,0,5432000.78310000000,6504595.15382000000,0.00000000000,25.29155021550,0.00000000000,,0,73,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 64,1,1795,0.31378852534,1,0,0,5431959.42498000000,6504605.05379000000,0.00000000000,14.52409269610,0.00000000000,,69,74,64,14,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 65,1,6277,0.39352061724,1,0,0,5432025.62356000000,6504695.22737000000,0.00000000000,24.29275069830,0.00000000000,,0,75,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 66,1,16413,0.75842986788,2,0,0,5431984.57789000000,6504705.70847000000,0.00000000000,14.49931366060,0.00000000000,,0,78,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,7,5
Location 67,1,8673,0.73417780834,1,0,0,5432018.70605000000,6504777.17591000000,0.00000000000,27.83545721760,0.00000000000,,0,79,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 68,1,381,0.36019364782,2,0,0,5431968.26394000000,6504041.02498000000,0.00000000000,13.26127886510,0.00000000000,,0,82,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 69,1,5691,0.24804659250,1,0,0,5432095.76075000000,6504009.77002000000,0.00000000000,14.41688832240,0.00000000000,,60,83,69,18,15,27,46,9,23,14,17,3,9,5,14,4,8,2,45,10,27,8
Location 70,1,2709,0.56719484029,1,0,0,5432027.58925000000,6504159.91486000000,0.00000000000,12.94997092180,0.00000000000,,28,84,70,6,11,11,19,2,6,11,10,0,5,5,14,1,12,1,18,1,6,11
Location 71,1,13547,0.78138426731,1,0,0,5432154.77015000000,6504128.32241000000,0.00000000000,12.39698230530,0.00000000000,,0,85,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 72,1,2879,0.25731788252,2,0,0,5430336.70337000000,6505445.79466000000,0.00000000000,16.73337413040,0.00000000000,,30,86,72,7,9,14,25,5,10,10,47,9,16,22,43,2,27,14,35,9,14,12
Location 73,1,14781,0.24204581225,2,0,0,5431489.97367000000,6505048.83417000000,0.00000000000,21.20175879350,0.00000000000,,162,87,73,32,64,66,49,5,25,19,54,5,35,14,98,8,60,30,42,5,24,13
Location 74,1,15999,0.67998991197,1,0,0,5431556.90136000000,6505068.75205000000,0.00000000000,14.04959350830,0.00000000000,,0,88,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 75,1,1242,0.11015597266,2,0,0,5431587.38533000000,6505076.52436000000,0.00000000000,11.23034689900,0.00000000000,,9,89,75,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,23,4,12,7
Location 76,1,1242,0.11015597266,2,0,0,5431587.38533000000,6505076.52436000000,0.00000000000,11.23034689900,0.00000000000,,0,90,76,0,0,0,106,15,54,37,74,14,32,28,95,21,50,24,267,38,174,55
Location 77,1,11805,0.99442067471,2,0,0,5431688.14956000000,6505064.73046000000,0.00000000000,15.49925017150,0.00000000000,,0,91,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 78,1,11480,0.27922181710,2,0,0,5431732.21032000000,6505089.25546000000,0.00000000000,15.42374202900,0.00000000000,,0,93,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Location 79,1,8477,0.37291654638,1,0,0,5431813.80987000000,6505044.65532000000,0.00000000000,14.42431387960,0.00000000000,,0,94,79,0,0,0,65,8,28,29,88,16,46,26,104,10,63,31,14,1,6,7
Location 80,1,4641,0.70077509146,2,0,0,5431984.54475000000,6505033.37763000000,0.00000000000,15.37571884450,0.00000000000,,0,95,80,0,0,0,48,8,23,17,30,6,17,7,40,7,21,12,14,1,6,7
