city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bisvalles,8.1847,-81.2211,Panama,PA,Veraguas,minor,,
Bahía Honda,7.8516,-80.6757,Panama,PA,Herrera,minor,,
Las Minas,7.7995,-80.7457,Panama,PA,Herrera,minor,,
El Copé,8.6211,-80.5790,Panama,PA,Coclé,minor,,
Mendoza,9.0159,-79.8486,Panama,PA,Panamá Oeste,minor,,
Lolá,8.0926,-81.4665,Panama,PA,Veraguas,minor,,
Perales,7.7769,-80.3214,Panama,PA,Los Santos,minor,,
Chiriquí,8.3971,-82.3216,Panama,PA,Chiriquí,minor,,
Llano Grande,8.0756,-81.1348,Panama,PA,Veraguas,minor,,
Río de Jesús,7.9839,-81.1614,Panama,PA,Veraguas,minor,,
Plan de Chorcha,8.4651,-82.1644,Panama,PA,Ngäbe-Buglé,minor,,
Los Cerros de Paja,7.7206,-80.6708,Panama,PA,Herrera,minor,,
Los Corotúes,8.4117,-81.0997,Panama,PA,Veraguas,minor,,
La Laguna,8.6041,-80.0472,Panama,PA,Panamá Oeste,minor,,
El Calabacito,7.7205,-80.5972,Panama,PA,Herrera,minor,,
Miramar,9.5702,-79.3388,Panama,PA,Colón,minor,,
Bajo Solís,8.3271,-81.5331,Panama,PA,Chiriquí,minor,,
Chumical,7.8464,-80.7366,Panama,PA,Herrera,minor,,
Las Margaritas,9.1843,-79.0873,Panama,PA,Panamá,minor,,
Santa Rosa Número Uno,8.8646,-80.0992,Panama,PA,Panamá Oeste,minor,,
Bahía Honda,7.7090,-80.4514,Panama,PA,Los Santos,minor,,
Potrero de Caña,8.2910,-81.6970,Panama,PA,Ngäbe-Buglé,minor,,
Corozal,8.0809,-81.4350,Panama,PA,Veraguas,minor,,
Salud,9.2067,-80.1320,Panama,PA,Colón,minor,,
Boca de Río Indio,9.1927,-80.1907,Panama,PA,Colón,minor,,
El Cedro,7.6874,-80.6582,Panama,PA,Herrera,minor,,
Cauchero,9.1514,-82.2681,Panama,PA,Bocas del Toro,minor,,
Nuestro Amo,8.4483,-80.5936,Panama,PA,Coclé,minor,,
La Encantada,9.0870,-80.1916,Panama,PA,Colón,minor,,
Hato Chamí,8.4500,-81.7667,Panama,PA,Ngäbe-Buglé,minor,,
Peñas Chatas,8.0179,-80.8022,Panama,PA,Herrera,minor,,
El Pedregoso,7.6947,-80.3271,Panama,PA,Los Santos,minor,,
El Bale,8.3500,-81.3667,Panama,PA,Ngäbe-Buglé,minor,,
Sardinilla,9.2983,-79.6396,Panama,PA,Colón,minor,,
Bijagual,8.5085,-82.3343,Panama,PA,Chiriquí,minor,,
Guzmán,8.5226,-80.5855,Panama,PA,Coclé,minor,,
El Copé,8.4393,-80.6801,Panama,PA,Coclé,minor,,
Limones,8.1009,-82.8659,Panama,PA,Chiriquí,minor,,
La Laguna,9.0443,-79.8391,Panama,PA,Panamá Oeste,minor,,
Olá,8.4202,-80.6505,Panama,PA,Coclé,minor,,
Las Minas,8.6421,-80.4004,Panama,PA,Coclé,minor,,
Breñón,8.6263,-82.8135,Panama,PA,Chiriquí,minor,,
Juay,8.2869,-81.9476,Panama,PA,Chiriquí,minor,,
El Marañón,8.0364,-81.2147,Panama,PA,Veraguas,minor,,
Quebrada del Rosario Arriba,7.7176,-80.7389,Panama,PA,Herrera,minor,,
Cedro Arriba,7.7815,-80.5311,Panama,PA,Los Santos,minor,,
Gobea,9.1679,-80.2538,Panama,PA,Colón,minor,,
Llano Grande,8.6347,-80.4399,Panama,PA,Coclé,minor,,
El Bebedero,7.4141,-80.4574,Panama,PA,Los Santos,minor,,
La Mesa,8.1495,-81.1843,Panama,PA,Veraguas,minor,,
Palo Grande,8.3516,-82.6064,Panama,PA,Chiriquí,minor,,
La Trinidad,7.9163,-80.7040,Panama,PA,Herrera,minor,,
Las Marias,8.8881,-80.2189,Panama,PA,Coclé,minor,,
Llano Grande,7.9744,-80.7093,Panama,PA,Herrera,minor,,
La Esmeralda,8.2676,-78.9234,Panama,PA,Panamá,minor,,
El Espino Amarillo,7.6761,-80.4364,Panama,PA,Los Santos,minor,,
Bella Vista,8.2147,-81.6198,Panama,PA,Chiriquí,minor,,
Las Trancas,7.7364,-80.3726,Panama,PA,Los Santos,minor,,
Cerro Plata,8.4752,-81.5417,Panama,PA,Ngäbe-Buglé,minor,,
Güibale,8.5167,-81.3667,Panama,PA,Ngäbe-Buglé,minor,,
Utirá,7.9749,-81.2173,Panama,PA,Veraguas,minor,,
Paritilla,7.6293,-80.1742,Panama,PA,Los Santos,minor,,
San Lorenzo,8.3094,-82.1026,Panama,PA,Chiriquí,minor,,
Pueblo Nuevo,8.8974,-79.9651,Panama,PA,Panamá Oeste,minor,,
Las Guías Abajo,8.1984,-80.7570,Panama,PA,Veraguas,minor,,
El Picador,8.3795,-81.2550,Panama,PA,Veraguas,minor,,
El Peñón,8.3508,-80.9745,Panama,PA,Veraguas,minor,,
San Marcelo,8.2723,-81.1465,Panama,PA,Veraguas,minor,,
El Toro,7.7534,-80.8692,Panama,PA,Herrera,minor,,
Las Huacas del Quije,8.4670,-80.7509,Panama,PA,Coclé,minor,,
San José,8.4658,-80.8037,Panama,PA,Veraguas,minor,,
Cerro Plata,8.2861,-81.3660,Panama,PA,Veraguas,minor,,
Arosemena,8.9709,-79.9664,Panama,PA,Panamá Oeste,minor,,
Guayabito,8.5483,-80.0135,Panama,PA,Panamá Oeste,minor,,
Leones Arriba,7.7537,-81.1156,Panama,PA,Veraguas,minor,,
Rodeo Viejo,8.1151,-81.3159,Panama,PA,Veraguas,minor,,
Monjarás,8.3717,-80.8657,Panama,PA,Veraguas,minor,,
Río Grande,7.7126,-81.3395,Panama,PA,Veraguas,minor,,
Santa Catalina,8.7811,-81.3351,Panama,PA,Ngäbe-Buglé,minor,,
La Carrillo,7.9714,-80.8818,Panama,PA,Veraguas,minor,,
París,8.0527,-80.5538,Panama,PA,Herrera,minor,,
Cerro Largo,7.8390,-80.8308,Panama,PA,Herrera,minor,,
San Juan,8.2796,-81.9954,Panama,PA,Chiriquí,minor,,
Los Higos,8.2057,-80.8621,Panama,PA,Veraguas,minor,,
Achiote,9.2224,-80.0189,Panama,PA,Colón,minor,,
Gatú,8.5282,-80.9572,Panama,PA,Veraguas,minor,,
La Mesa,7.6616,-80.6190,Panama,PA,Los Santos,minor,,
Viento Frío,9.5789,-79.4117,Panama,PA,Colón,minor,,
Paredón Arriba,8.4545,-81.1937,Panama,PA,Ngäbe-Buglé,minor,,
El Potrero,8.3850,-80.8007,Panama,PA,Veraguas,minor,,
Piedras Gordas,8.5263,-80.9103,Panama,PA,Veraguas,minor,,
Horconcitos,8.3147,-82.1533,Panama,PA,Chiriquí,minor,,
Barnizal,8.4105,-80.7769,Panama,PA,Veraguas,minor,,
Pitaloza Arriba,7.6421,-80.6690,Panama,PA,Herrera,minor,,
Viguí,8.3399,-81.4975,Panama,PA,Veraguas,minor,,
Cordillera,8.7085,-82.6012,Panama,PA,Chiriquí,minor,,
El Pantano,8.5347,-81.0694,Panama,PA,Veraguas,minor,,
Río Grande,8.6171,-81.3033,Panama,PA,Ngäbe-Buglé,minor,,
Quebrada Tula,8.8399,-81.9974,Panama,PA,Ngäbe-Buglé,minor,,
Puerto Vidal,8.0493,-81.6045,Panama,PA,Veraguas,minor,,
San José,8.3705,-81.4153,Panama,PA,Veraguas,minor,,
Los Valles,8.4461,-81.1966,Panama,PA,Veraguas,minor,,
Las Sabanas,8.5828,-80.6805,Panama,PA,Coclé,minor,,
El Cocla,8.3218,-80.9181,Panama,PA,Veraguas,minor,,
La Yeguada,8.4319,-80.8567,Panama,PA,Veraguas,minor,,
Lajas de Tolé,8.1699,-81.6965,Panama,PA,Chiriquí,minor,,
Narganá,9.4406,-78.5866,Panama,PA,Guna Yala,minor,,
Leones Arriba,7.7703,-80.8513,Panama,PA,Herrera,minor,,
Chepo,7.7271,-80.8210,Panama,PA,Herrera,minor,,
Agua Fría Número Uno,8.8584,-78.1975,Panama,PA,Darién,minor,,
Lajas Adentro,8.2493,-81.8797,Panama,PA,Chiriquí,minor,,
Las Huacas,7.9033,-81.1400,Panama,PA,Veraguas,minor,,
Cascabel,8.5333,-81.8667,Panama,PA,Ngäbe-Buglé,minor,,
La Boca del Guásimo,9.0583,-80.3314,Panama,PA,Colón,minor,,
El Líbano,8.6169,-79.8348,Panama,PA,Panamá Oeste,minor,,
Barranco Colorado,8.3878,-80.6367,Panama,PA,Coclé,minor,,
El Cacao,7.4493,-80.4035,Panama,PA,Los Santos,minor,,
El Pájaro,7.9567,-81.1184,Panama,PA,Veraguas,minor,,
Guarumal,7.7989,-81.2585,Panama,PA,Veraguas,minor,,
La Soledad,7.8789,-81.2679,Panama,PA,Veraguas,minor,,
Tortí,8.9213,-78.4055,Panama,PA,Panamá,minor,,
Lajamina,7.5902,-80.1324,Panama,PA,Los Santos,minor,,
El María,8.0322,-81.4451,Panama,PA,Veraguas,minor,,
Valle Rico,7.6215,-80.3530,Panama,PA,Los Santos,minor,,
San José,7.6770,-80.2434,Panama,PA,Los Santos,minor,,
Boca del Monte,8.3564,-82.1169,Panama,PA,Chiriquí,minor,,
Pinogana,8.1130,-77.6885,Panama,PA,Darién,minor,,
Los Ángeles,8.5257,-82.2029,Panama,PA,Chiriquí,minor,,
Los Castillos,8.0246,-81.1167,Panama,PA,Veraguas,minor,,
El Macano,7.6878,-80.4053,Panama,PA,Los Santos,minor,,
Quebrada de Piedra,8.0954,-81.6829,Panama,PA,Chiriquí,minor,,
Valle de Las Minas,8.6640,-82.2220,Panama,PA,Chiriquí,minor,,
Paraíso,7.6871,-80.1590,Panama,PA,Los Santos,minor,,
Boca de Río Chiriquí,8.8407,-81.5646,Panama,PA,Ngäbe-Buglé,minor,,
Palmira,7.6635,-80.3573,Panama,PA,Los Santos,minor,,
Coronte,8.7400,-81.7860,Panama,PA,Ngäbe-Buglé,minor,,
El Alto,8.5118,-81.0364,Panama,PA,Veraguas,minor,,
Limón de Tijeras,7.8227,-80.9160,Panama,PA,Herrera,minor,,
Ponuga,7.8827,-80.9771,Panama,PA,Veraguas,minor,,
Los Asientos,7.5185,-80.1329,Panama,PA,Los Santos,minor,,
San Miguel,8.4570,-78.9373,Panama,PA,Panamá,minor,,
Calidonia,7.9670,-81.3835,Panama,PA,Veraguas,minor,,
Palenque,9.5697,-79.3634,Panama,PA,Colón,minor,,
Caldera,8.6597,-82.3703,Panama,PA,Chiriquí,minor,,
Paja de Sombrero,8.6861,-82.3215,Panama,PA,Chiriquí,minor,,
Bajo Corral,7.6064,-80.2586,Panama,PA,Los Santos,minor,,
La Tronosa,7.4362,-80.5897,Panama,PA,Los Santos,minor,,
Cañita,9.2157,-78.8897,Panama,PA,Panamá,minor,,
Calovébora,8.7871,-81.2099,Panama,PA,Veraguas,minor,,
El Llano,9.2120,-78.9592,Panama,PA,Panamá,minor,,
La Miel,7.5596,-80.3278,Panama,PA,Los Santos,minor,,
Río Luís,8.6827,-81.2195,Panama,PA,Veraguas,minor,,
Vallerriquito,7.6223,-80.3166,Panama,PA,Los Santos,minor,,
La Raya de Calobre,8.2206,-80.8256,Panama,PA,Veraguas,minor,,
La Laguna,8.3409,-80.7293,Panama,PA,Veraguas,minor,,
Cucunatí,8.5751,-78.2567,Panama,PA,Darién,minor,,
Boquerón,8.2435,-80.8584,Panama,PA,Veraguas,minor,,
Mariabé,7.5834,-80.0642,Panama,PA,Los Santos,minor,,
Las Palmas,7.6810,-80.4986,Panama,PA,Los Santos,minor,,
La Garceana,7.9406,-81.0151,Panama,PA,Veraguas,minor,,
Platanilla,8.8280,-78.3843,Panama,PA,Darién,minor,,
Cañas,7.4481,-80.2628,Panama,PA,Los Santos,minor,,
El Cañafístulo,7.6210,-80.2316,Panama,PA,Los Santos,minor,,
Altos de Güera,7.5312,-80.6209,Panama,PA,Los Santos,minor,,
Bajos de Güera,7.5442,-80.6262,Panama,PA,Los Santos,minor,,
Flores,7.4866,-80.4059,Panama,PA,Los Santos,minor,,
Río Hondo,7.7143,-80.3573,Panama,PA,Los Santos,minor,,
Santa Cruz,8.2353,-81.9127,Panama,PA,Chiriquí,minor,,
Bayano,7.6381,-80.3847,Panama,PA,Los Santos,minor,,
Tebario,7.7192,-80.9746,Panama,PA,Veraguas,minor,,
Río Sábalo,7.9833,-78.2167,Panama,PA,Emberá-Wounaan,minor,,
Mogollón,7.6492,-80.4572,Panama,PA,Los Santos,minor,,
El Cortezo,7.4291,-80.6326,Panama,PA,Los Santos,minor,,
Pásiga,8.9365,-78.9092,Panama,PA,Panamá,minor,,
Puerto Obaldía,8.6500,-77.4000,Panama,PA,Guna Yala,minor,,
Zapotillo,8.0072,-81.5092,Panama,PA,Veraguas,minor,,
Pueblo Nuevo,8.1504,-78.2503,Panama,PA,Darién,minor,,
Pedro González,8.4138,-79.1024,Panama,PA,Panamá,minor,,
Valle de Riscó,9.2312,-82.4297,Panama,PA,Bocas del Toro,minor,,
Quebro,7.4387,-80.8859,Panama,PA,Veraguas,minor,,
Boca Chica,8.2204,-82.2185,Panama,PA,Chiriquí,minor,,
Arenas,7.3700,-80.8595,Panama,PA,Veraguas,minor,,
Barriales,8.5840,-78.3882,Panama,PA,Darién,minor,,
Unión Santeña,8.8353,-78.6510,Panama,PA,Panamá,minor,,
Loma Yuca,8.7167,-81.4000,Panama,PA,Ngäbe-Buglé,minor,,
Cambutal,7.2657,-80.4872,Panama,PA,Los Santos,minor,,
Oria Arriba,7.5075,-80.2060,Panama,PA,Los Santos,minor,,
Lajas Blancas,8.4148,-77.8116,Panama,PA,Emberá-Wounaan,minor,,
La Guinea,8.3427,-78.9300,Panama,PA,Panamá,minor,,
Mortí,8.8419,-77.9796,Panama,PA,Darién,minor,,
Corozal,8.1978,-77.6004,Panama,PA,Emberá-Wounaan,minor,,
Nuario,7.5271,-80.3200,Panama,PA,Los Santos,minor,,
La Ensenada,8.3660,-78.8464,Panama,PA,Panamá,minor,,
Jingurudó,7.8796,-78.0769,Panama,PA,Emberá-Wounaan,minor,,
Púcuro,7.9737,-77.4860,Panama,PA,Darién,minor,,
Paya,7.9007,-77.3896,Panama,PA,Darién,minor,,
Gobernadora,7.5593,-81.1855,Panama,PA,Veraguas,minor,,
